"job_id","job_title_short","job_location","salary_year_avg","job_country","company_name","skills"
1049766,"Data Analyst","Atlanta, GA","125000.0","United States","IHG","visio"
722294,"Data Analyst","Atlanta, GA","122000.0","United States","Cisco","sql"
722294,"Data Analyst","Atlanta, GA","122000.0","United States","Cisco","postgresql"
722294,"Data Analyst","Atlanta, GA","122000.0","United States","Cisco","gcp"
722294,"Data Analyst","Atlanta, GA","122000.0","United States","Cisco","tableau"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","python"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","javascript"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","azure"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","databricks"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","oracle"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","spark"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","pyspark"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","tableau"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","power bi"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","dax"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","sap"
270428,"Data Analyst","Atlanta, GA","120000.0","United States","EY","alteryx"
1518066,"Data Analyst","Atlanta, GA","117500.0","United States","Insight Global","sql"
1518066,"Data Analyst","Atlanta, GA","117500.0","United States","Insight Global","python"
1518066,"Data Analyst","Atlanta, GA","117500.0","United States","Insight Global","r"
1518066,"Data Analyst","Atlanta, GA","117500.0","United States","Insight Global","excel"
1518066,"Data Analyst","Atlanta, GA","117500.0","United States","Insight Global","tableau"
1518066,"Data Analyst","Atlanta, GA","117500.0","United States","Insight Global","power bi"
1518066,"Data Analyst","Atlanta, GA","117500.0","United States","Insight Global","flow"
152425,"Data Analyst","Atlanta, GA","115800.0","United States","Centene Corporation","sql"
152425,"Data Analyst","Atlanta, GA","115800.0","United States","Centene Corporation","python"
152425,"Data Analyst","Atlanta, GA","115800.0","United States","Centene Corporation","r"
152425,"Data Analyst","Atlanta, GA","115800.0","United States","Centene Corporation","sas"
152425,"Data Analyst","Atlanta, GA","115800.0","United States","Centene Corporation","sas"
1336570,"Data Analyst","Atlanta, GA","115000.0","United States","Synergis","excel"
1336570,"Data Analyst","Atlanta, GA","115000.0","United States","Synergis","power bi"
1336570,"Data Analyst","Atlanta, GA","115000.0","United States","Synergis","word"
1336570,"Data Analyst","Atlanta, GA","115000.0","United States","Synergis","sharepoint"
1336570,"Data Analyst","Atlanta, GA","115000.0","United States","Synergis","powerpoint"
1336570,"Data Analyst","Atlanta, GA","115000.0","United States","Synergis","outlook"
198764,"Data Analyst","Atlanta, GA","115000.0","United States","Voya Prime Rate Trust","sql"
198764,"Data Analyst","Atlanta, GA","115000.0","United States","Voya Prime Rate Trust","java"
198764,"Data Analyst","Atlanta, GA","115000.0","United States","Voya Prime Rate Trust","azure"
198764,"Data Analyst","Atlanta, GA","115000.0","United States","Voya Prime Rate Trust","unix"
198764,"Data Analyst","Atlanta, GA","115000.0","United States","Voya Prime Rate Trust","flow"
914916,"Data Analyst","Atlanta, GA","113269.5","United States","Centers for Disease Control and Prevention","r"
914916,"Data Analyst","Atlanta, GA","113269.5","United States","Centers for Disease Control and Prevention","crystal"
914916,"Data Analyst","Atlanta, GA","113269.5","United States","Centers for Disease Control and Prevention","c"
914916,"Data Analyst","Atlanta, GA","113269.5","United States","Centers for Disease Control and Prevention","aurora"
914916,"Data Analyst","Atlanta, GA","113269.5","United States","Centers for Disease Control and Prevention","spring"
914916,"Data Analyst","Atlanta, GA","113269.5","United States","Centers for Disease Control and Prevention","cordova"
914916,"Data Analyst","Atlanta, GA","113269.5","United States","Centers for Disease Control and Prevention","phoenix"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","sql"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","python"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","nosql"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","scala"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","r"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","sas"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","javascript"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","cassandra"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","aws"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","redshift"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","snowflake"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","spark"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","excel"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","sas"
592901,"Data Analyst","Atlanta, GA","112500.0","United States","Encore Technologies","microstrategy"
