"job_id","job_title_short","job_location","salary_year_avg","job_country","company_name"
768595,"Data Analyst","Atlanta, GA","75000.0","United States","ACL Digital"
916181,"Data Analyst","Atlanta, GA","75000.0","United States","General Dynamics Information Technology"
1121153,"Data Analyst","Atlanta, GA","71300.0","United States","Guidehouse"
1170512,"Data Analyst","Atlanta, GA","70500.0","United States","The Intersect Group"
1487042,"Data Analyst","Atlanta, GA","70000.0","United States","CRH"
431949,"Data Analyst","Atlanta, GA","70000.0","United States","WNA Ltd"
1302787,"Data Analyst","Atlanta, GA","70000.0","United States","Acadia Technologies, Inc."
1594198,"Data Analyst","Atlanta, GA","70000.0","United States","Acadia Technologies, Inc."
147393,"Data Analyst","Atlanta, GA","70000.0","United States","JLL"
1411022,"Data Analyst","Atlanta, GA","70000.0","United States","Acadia Technologies, Inc."
1273937,"Data Analyst","Atlanta, GA","70000.0","United States","Acadia Technologies, Inc."
521738,"Data Analyst","Atlanta, GA","68500.0","United States","Randstad USA"
1322697,"Data Analyst","Atlanta, GA","67500.0","United States","Jumpvine"
1543688,"Data Analyst","Atlanta, GA","67043.0","United States","Atlanta Regional Commission"
1552503,"Data Analyst","Atlanta, GA","65000.0","United States","Professional Technology Integration, Inc."
1075554,"Data Analyst","Atlanta, GA","65000.0","United States","Mellow Mushroom"
178703,"Data Analyst","Atlanta, GA","65000.0","United States","Integrated Resources, Inc ( IRI )"
913177,"Data Analyst","Atlanta, GA","65000.0","United States","Alliant Insurance Services"
749612,"Data Analyst","Atlanta, GA","64890.0","United States","ICF"
1109032,"Data Analyst","Atlanta, GA","60000.0","United States","Georgia State University"
238363,"Data Analyst","Atlanta, GA","57058.0","United States","Atlanta Regional Commission"
202055,"Data Analyst","Atlanta, GA","55000.0","United States","Cogent Infotech."
511472,"Data Analyst","Atlanta, GA","55000.0","United States","State of Georgia"
33572,"Data Analyst","Atlanta, GA","52500.0","United States","Global Data Network"
1390161,"Data Analyst","Atlanta, GA","50000.0","United States","Orkin"
481162,"Data Analyst","Atlanta, GA","50000.0","United States","Veritiv Corporation"
1123965,"Data Analyst","Atlanta, GA","47500.0","United States","Ali Awad Law, P.C."
643966,"Data Analyst","Atlanta, GA","47500.0","United States","Ali Awad Law, P.C."
1382290,"Data Analyst","Atlanta, GA","46000.0","United States","State of Georgia"
1162393,"Data Analyst","Atlanta, GA","46000.0","United States","State of Georgia"
95178,"Data Analyst","Atlanta, GA","45000.0","United States","State of Georgia"
720897,"Data Analyst","Atlanta, GA","40000.0","United States","Techniweld USA"
1529999,"Data Analyst","Atlanta, GA","35000.0","United States","Kimberly-Clark Corporation"
